iter	Passed	Remaining
0	14	4199
1	28	4174
2	42	4162
3	56	4194
4	70	4168
5	84	4145
6	97	4096
7	111	4075
8	126	4075
9	139	4051
10	153	4032
11	167	4012
12	180	3986
13	194	3973
14	208	3954
15	221	3938
16	235	3920
17	249	3903
18	265	3933
19	283	3962
20	297	3955
21	310	3928
22	326	3934
23	341	3929
24	355	3907
25	369	3892
26	382	3870
27	396	3850
28	411	3840
29	425	3831
30	439	3816
31	453	3794
32	467	3778
33	480	3757
34	493	3738
35	509	3733
36	523	3718
37	536	3700
38	550	3682
39	564	3667
40	578	3651
41	591	3633
42	605	3617
43	621	3613
44	634	3594
45	647	3577
46	661	3560
47	674	3542
48	688	3528
49	702	3511
50	715	3493
51	729	3477
52	743	3464
53	759	3461
54	777	3462
55	794	3462
56	814	3470
57	830	3467
58	849	3470
59	870	3482
60	891	3491
61	908	3487
62	927	3490
63	946	3489
64	962	3479
65	980	3475
66	997	3468
67	1014	3460
68	1029	3447
69	1043	3429
70	1057	3411
71	1071	3392
72	1084	3372
73	1098	3355
74	1112	3336
75	1126	3318
76	1139	3300
77	1153	3283
78	1167	3265
79	1180	3247
80	1194	3229
81	1208	3211
82	1222	3195
83	1236	3178
84	1250	3162
85	1267	3154
86	1284	3144
87	1298	3128
88	1313	3112
89	1328	3100
90	1344	3086
91	1359	3073
92	1374	3060
93	1390	3047
94	1406	3034
95	1421	3020
96	1435	3004
97	1448	2985
98	1462	2968
99	1475	2951
100	1489	2934
101	1503	2919
102	1518	2903
103	1531	2887
104	1545	2870
105	1567	2868
106	1587	2863
107	1609	2860
108	1636	2867
109	1655	2858
110	1671	2845
111	1687	2832
112	1703	2819
113	1721	2809
114	1740	2800
115	1758	2789
116	1774	2776
117	1790	2762
118	1805	2746
119	1820	2730
120	1833	2712
121	1847	2695
122	1860	2677
123	1875	2661
124	1889	2644
125	1903	2627
126	1916	2611
127	1930	2593
128	1939	2570
129	1952	2553
130	1966	2536
131	1980	2520
132	1993	2503
133	2007	2486
134	2025	2475
135	2041	2461
136	2055	2445
137	2068	2427
138	2082	2411
139	2095	2394
140	2109	2378
141	2124	2364
142	2138	2347
143	2152	2332
144	2167	2316
145	2180	2300
146	2194	2284
147	2208	2267
148	2221	2251
149	2235	2235
150	2248	2218
151	2264	2204
152	2280	2190
153	2293	2174
154	2306	2158
155	2320	2141
156	2334	2125
157	2347	2109
158	2361	2094
159	2377	2080
160	2391	2064
161	2404	2048
162	2417	2031
163	2426	2012
164	2440	1996
165	2454	1981
166	2467	1965
167	2481	1949
168	2494	1933
169	2509	1918
170	2524	1904
171	2539	1889
172	2556	1876
173	2571	1862
174	2586	1847
175	2601	1832
176	2611	1814
177	2626	1800
178	2640	1784
179	2654	1769
180	2667	1754
181	2681	1738
182	2694	1722
183	2708	1707
184	2721	1691
185	2735	1676
186	2748	1661
187	2762	1645
188	2783	1634
189	2797	1619
190	2810	1603
191	2824	1588
192	2838	1573
193	2852	1558
194	2869	1545
195	2885	1530
196	2901	1516
197	2917	1502
198	2932	1488
199	2947	1473
200	2963	1459
201	2978	1444
202	2992	1430
203	3007	1415
204	3021	1400
205	3036	1385
206	3050	1370
207	3065	1356
208	3081	1341
209	3095	1326
210	3110	1311
211	3126	1297
212	3142	1283
213	3156	1268
214	3170	1253
215	3184	1238
216	3199	1223
217	3213	1208
218	3227	1193
219	3242	1179
220	3256	1164
221	3272	1149
222	3286	1134
223	3301	1120
224	3314	1104
225	3330	1090
226	3344	1075
227	3358	1060
228	3373	1046
229	3387	1031
230	3402	1016
231	3417	1001
232	3432	987
233	3447	972
234	3464	958
235	3483	944
236	3502	930
237	3512	915
238	3532	901
239	3547	886
240	3563	872
241	3577	857
242	3591	842
243	3605	827
244	3618	812
245	3632	797
246	3646	782
247	3660	767
248	3674	752
249	3688	737
250	3702	722
251	3715	707
252	3728	692
253	3742	677
254	3755	662
255	3772	648
256	3787	633
257	3801	618
258	3814	603
259	3828	588
260	3846	574
261	3860	559
262	3876	545
263	3891	530
264	3907	516
265	3922	501
266	3937	486
267	3954	472
268	3969	457
269	3984	442
270	4001	428
271	4016	413
272	4030	398
273	4043	383
274	4057	368
275	4072	354
276	4085	339
277	4100	324
278	4113	309
279	4127	294
280	4141	280
281	4155	265
282	4168	250
283	4181	235
284	4194	220
285	4208	206
286	4221	191
287	4235	176
288	4248	161
289	4265	147
290	4279	132
291	4292	117
292	4305	102
293	4319	88
294	4333	73
295	4347	58
296	4361	44
297	4375	29
298	4389	14
299	4403	0
